DateTime,EventType,Symbol,Timeframe,Price,Direction,Lot,PassCounter,BlockLot,BasketProfit,SessionActive,MarginFree,Notes
2026.09.10 01:02:20,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520072.57,
2026.09.10 01:02:20,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520072.57,
2026.09.10 01:02:20,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520072.57,
2026.09.10 01:02:20,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520072.57,
2026.09.10 01:03:57,ORDER_FILL,XAUUSD+,PERIOD_M1,4405.87,BUY,0.01,0,0.01,-1.24,YES,520048.05,
2026.09.10 01:03:57,ORDER_FILL,XAUUSD+,PERIOD_M1,4406.17,BUY,0.01,0,0.01,-1.24,YES,520048.05,
2026.09.10 01:03:57,ORDER_FILL,XAUUSD+,PERIOD_M1,4406.47,BUY,0.01,0,0.01,-1.71,YES,520048.05,
2026.09.10 01:09:05,ORDER_FILL,XAUUSD+,PERIOD_M1,4404.36,BUY,0.01,0,0.01,0.00,YES,520060.26,
2026.09.10 01:09:24,ORDER_FILL,XAUUSD+,PERIOD_M1,4404.65,BUY,0.01,0,0.01,-0.61,YES,520044.58,
2026.09.10 01:09:24,ORDER_FILL,XAUUSD+,PERIOD_M1,4404.95,BUY,0.01,0,0.01,-0.61,YES,520044.58,
2026.09.10 01:10:05,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.96,SELL,0.01,0,0.01,0.00,YES,520060.72,
2026.09.10 01:10:06,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.66,SELL,0.01,0,0.01,0.02,YES,520053.13,
2026.09.10 01:11:05,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.36,SELL,0.01,0,0.01,0.20,YES,520032.38,
2026.09.10 01:11:06,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.06,SELL,0.01,0,0.01,0.20,YES,520032.38,
2026.09.10 01:11:06,ORDER_FILL,XAUUSD+,PERIOD_M1,4402.76,SELL,0.01,0,0.01,2.06,YES,520029.29,
2026.09.10 01:14:20,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.67,SELL,0.01,0,0.01,0.03,YES,520060.44,
2026.09.10 01:14:22,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.37,SELL,0.01,0,0.01,0.09,YES,520053.05,
2026.09.10 01:14:23,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.07,SELL,0.01,0,0.01,0.42,YES,520045.61,
2026.09.10 01:14:25,ORDER_FILL,XAUUSD+,PERIOD_M1,4402.77,SELL,0.01,0,0.01,1.03,YES,520038.51,
2026.09.10 01:19:15,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.01,SELL,0.01,0,0.01,0.00,YES,520061.19,
2026.09.10 01:22:05,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520068.71,
2026.09.10 01:23:03,ORDER_FILL,XAUUSD+,PERIOD_M1,4401.68,SELL,0.01,0,0.01,0.00,YES,520060.98,
2026.09.10 01:24:21,ORDER_FILL,XAUUSD+,PERIOD_M1,4401.38,SELL,0.01,0,0.01,-0.02,YES,520053.50,
2026.09.10 01:28:30,ORDER_FILL,XAUUSD+,PERIOD_M1,4400.79,SELL,0.01,0,0.01,0.00,YES,520060.69,
2026.09.10 01:29:11,ORDER_FILL,XAUUSD+,PERIOD_M1,4400.49,SELL,0.01,0,0.01,0.15,YES,520053.20,
2026.09.10 01:31:55,ORDER_FILL,XAUUSD+,PERIOD_M1,4402.42,SELL,0.01,0,0.01,0.00,YES,520059.83,
2026.09.10 01:32:14,ORDER_FILL,XAUUSD+,PERIOD_M1,4402.12,SELL,0.01,0,0.01,1.05,YES,520045.79,
2026.09.10 01:32:14,ORDER_FILL,XAUUSD+,PERIOD_M1,4401.82,SELL,0.01,0,0.01,1.05,YES,520045.77,
2026.09.10 01:34:34,ORDER_FILL,XAUUSD+,PERIOD_M1,4403.81,BUY,0.01,0,0.01,0.00,YES,520060.19,
2026.09.10 01:34:53,ORDER_FILL,XAUUSD+,PERIOD_M1,4402.97,SELL,0.01,1,0.01,-0.80,YES,520067.02,
2026.09.10 01:35:37,ORDER_FILL,XAUUSD+,PERIOD_M1,4402.68,SELL,0.01,1,0.01,-0.81,YES,520059.50,
2026.09.10 01:37:31,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520068.22,
2026.09.10 01:37:31,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520068.22,
2026.09.10 01:39:44,ORDER_FILL,XAUUSD+,PERIOD_M1,4400.05,SELL,0.01,0,0.01,0.00,YES,520060.54,
2026.09.10 01:40:18,ORDER_FILL,XAUUSD+,PERIOD_M1,4400.78,BUY,0.01,1,0.01,-0.63,YES,520067.44,
2026.09.10 01:41:46,ORDER_FILL,XAUUSD+,PERIOD_M1,4401.08,BUY,0.01,1,0.01,-0.72,YES,520059.76,
2026.09.10 01:42:35,ORDER_FILL,XAUUSD+,PERIOD_M1,4401.38,BUY,0.01,1,0.01,-0.59,YES,520052.31,
