DateTime,EventType,Symbol,Timeframe,Price,Direction,Lot,PassCounter,BlockLot,BasketProfit,SessionActive,MarginFree,Notes
2026.09.11 01:04:51,ORDER_FILL,XAUUSD+,PERIOD_M1,4321.99,BUY,0.01,0,0.00,-2.51,YES,520241.91,
2026.09.11 01:04:52,ORDER_FILL,XAUUSD+,PERIOD_M1,4322.29,BUY,0.01,0,0.00,-2.51,YES,520241.91,
2026.09.11 01:04:52,ORDER_FILL,XAUUSD+,PERIOD_M1,4322.59,BUY,0.01,0,0.00,-2.51,YES,520241.91,
2026.09.11 01:05:30,ORDER_FILL,XAUUSD+,PERIOD_M1,4322.89,BUY,0.01,0,0.01,-1.62,YES,520235.02,
2026.09.11 01:11:53,ORDER_FILL,XAUUSD+,PERIOD_M1,4322.04,SELL,0.01,0,0.01,0.12,YES,520252.54,
2026.09.11 01:11:53,ORDER_FILL,XAUUSD+,PERIOD_M1,4321.74,SELL,0.01,0,0.01,0.12,YES,520252.48,
2026.09.11 01:22:25,ORDER_FILL,XAUUSD+,PERIOD_M1,4320.49,SELL,0.01,0,0.01,0.00,YES,520259.44,
2026.09.11 01:23:15,ORDER_FILL,XAUUSD+,PERIOD_M1,4320.19,SELL,0.01,0,0.01,0.11,YES,520252.05,
2026.09.11 01:23:35,ORDER_FILL,XAUUSD+,PERIOD_M1,4319.89,SELL,0.01,0,0.01,1.56,YES,520238.70,
2026.09.11 01:23:35,ORDER_FILL,XAUUSD+,PERIOD_M1,4319.59,SELL,0.01,0,0.01,1.56,YES,520238.76,
2026.09.11 01:23:54,ORDER_FILL,XAUUSD+,PERIOD_M1,4319.29,SELL,0.01,0,0.01,0.65,YES,520230.32,
2026.09.11 01:26:17,ORDER_FILL,XAUUSD+,PERIOD_M1,4319.09,SELL,0.01,0,0.00,-0.12,YES,520258.75,
2026.09.11 01:26:41,ORDER_FILL,XAUUSD+,PERIOD_M1,4319.95,BUY,0.01,0,0.01,-1.18,YES,520258.02,
2026.09.11 01:26:41,ORDER_FILL,XAUUSD+,PERIOD_M1,4320.25,BUY,0.01,0,0.01,-1.18,YES,520258.02,
2026.09.11 01:27:07,ORDER_FILL,XAUUSD+,PERIOD_M1,4318.95,SELL,0.01,1,0.01,-2.14,YES,520264.43,
2026.09.11 01:29:15,ORDER_FILL,XAUUSD+,PERIOD_M1,4320.23,BUY,0.01,0,0.01,-0.48,YES,520255.84,
2026.09.11 01:30:02,ORDER_FILL,XAUUSD+,PERIOD_M1,4320.12,BUY,0.01,0,0.01,-0.15,YES,520248.67,
2026.09.11 01:30:21,ORDER_FILL,XAUUSD+,PERIOD_M1,4320.42,BUY,0.01,0,0.01,-3.42,YES,520245.38,
2026.09.11 01:30:21,ORDER_FILL,XAUUSD+,PERIOD_M1,4319.07,SELL,0.01,1,0.01,-3.42,YES,520245.39,
2026.09.11 01:31:21,ORDER_FILL,XAUUSD+,PERIOD_M1,4318.31,SELL,0.01,0,0.01,-0.03,YES,520251.45,
2026.09.11 01:31:43,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520262.90,
2026.09.11 01:32:20,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520262.90,
2026.09.11 01:32:20,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520262.90,
2026.09.11 01:32:20,ORDER_FILL,XAUUSD+,PERIOD_M1,0.00,SELL,0.00,0,0.00,0.00,NO,520262.90,
2026.09.11 01:34:40,ORDER_FILL,XAUUSD+,PERIOD_M1,4318.63,BUY,0.01,0,0.01,0.00,YES,520255.43,
2026.09.11 01:35:00,ORDER_FILL,XAUUSD+,PERIOD_M1,4318.93,BUY,0.01,0,0.01,-0.46,YES,520247.50,
2026.09.11 01:39:21,ORDER_FILL,XAUUSD+,PERIOD_M1,4316.90,SELL,0.01,0,0.01,0.00,YES,520252.57,
2026.09.11 01:39:21,ORDER_FILL,XAUUSD+,PERIOD_M1,4316.85,SELL,0.01,0,0.01,-0.02,YES,520245.16,
2026.09.11 01:40:01,ORDER_FILL,XAUUSD+,PERIOD_M1,4316.55,SELL,0.01,0,0.01,1.70,YES,520231.95,
2026.09.11 01:40:01,ORDER_FILL,XAUUSD+,PERIOD_M1,4316.25,SELL,0.01,0,0.01,1.70,YES,520231.95,
2026.09.11 01:40:42,ORDER_FILL,XAUUSD+,PERIOD_M1,4315.95,SELL,0.01,0,0.01,2.03,YES,520218.21,
2026.09.11 01:40:42,ORDER_FILL,XAUUSD+,PERIOD_M1,4315.65,SELL,0.01,0,0.01,2.84,YES,520218.16,
